中山大学校训  博学、审问、慎思、明辨、笃行
中山大学基金会在线捐赠系统主页网站   http://donate.sysu.edu.cn/edf/c/donate/items
中山大学研究生院主页网站    http://graduate.sysu.edu.cn/
中山大学mySYSU主页网站  http://my.sysu.edu.cn/welcome
中山大学官网主页网站  http://www.sysu.edu.cn/2012/cn/index.htm
中山大学中国语言文学系主页网站 http://chinese.sysu.edu.cn
中山大学历史学系主页网站    http://history.sysu.edu.cn/
中山大学哲学系主页网站 http://philosophy.sysu.edu.cn
中山大学社会学与人类学学院主页网站   http://ssa.sysu.edu.cn/
中山大学博雅学院主页网站    http://lac.sysu.edu.cn
中山大学人文高等研究院主页网站 http://iash.sysu.edu.cn
中山大学通识教育部主页网站   http://ge.sysu.edu.cn
中山大学岭南学院主页网站    http://www.lingnan.sysu.edu.cn/
中山大学外国语学院主页网站   http://fls.sysu.edu.cn
中山大学法学院主页网站 http://law.sysu.edu.cn/
中山大学政治与公共事务管理学院主页网站 http://sog.sysu.edu.cn/
中山大学管理学院主页网站    http://bus.sysu.edu.cn/
中山大学马克思主义学院主页网站 http://zsuskx.sysu.edu.cn/
中山大学心理学系主页网站    http://www.psy.sysu.edu.cn/
中山大学传播与设计学院主页网站 http://scd.sysu.edu.cn/
中山大学资讯管理学院主页网站  http://im.sysu.edu.cn
中山大学数学学院主页网站    http://math.sysu.edu.cn
中山大学物理学院主页网站    http://spe.sysu.edu.cn
中山大学化学学院主页网站    http://ce.sysu.edu.cn
中山大学地理科学与规划学院主页网站   http://gp.sysu.edu.cn
中山大学生命科学学院主页网站  http://lifescience.sysu.edu.cn
中山大学工学院主页网站 http://egs.sysu.edu.cn/
中山大学材料科学与工程学院主页网站   http://mse.sysu.edu.cn
中山大学电子与信息工程学院主页网站   http://seit.sysu.edu.cn
中山大学-卡内基梅隆大学联合工程学院主页网站  http://jie.sysu.edu.cn/
中山大学数据科学与计算机学院主页网站  http://sdcs.sysu.edu.cn/
中山大学土木工程学院主页网站  http://civil.sysu.edu.cn/
中山大学环境科学与工程学院主页网站   http://sese.sysu.edu.cn
中山大学中山医学院主页网站   http://zssom.sysu.edu.cn/
中山大学光华口腔医学院主页网站 http://www.zdkqyy.com
中山大学公共卫生学院主页网站  http://sph.sysu.edu.cn
中山大学药学院主页网站 http://sps.sysu.edu.cn
中山大学护理学院主页网站    http://nursing.sysu.edu.cn
中山大学逸仙学院主页网站    http://yss.sysu.edu.cn
中山大学体育部主页网站 http://tiyu.sysu.edu.cn/
中山大学中国语言文学系（珠海）主页网站 http://chinesezh.sysu.edu.cn/
中山大学历史学系（珠海）主页网站    http://historyzh.sysu.edu.cn
中山大学哲学系（珠海）主页网站 http://phil-zh.sysu.edu.cn/
中山大学国际金融学院主页网站  http://isbf.sysu.edu.cn
中山大学国际翻译学院主页网站  http://sti.sysu.edu.cn
中山大学国际关系学院主页网站  http://saps.sysu.edu.cn/
中山大学旅游学院主页网站    http://stm.sysu.edu.cn/
中山大学数学学院（珠海）主页网站    http://mathzh.sysu.edu.cn
中山大学物理与天文学院主页网站 http://spa.sysu.edu.cn/
中山大学大气科学学院主页网站  http://atmos.sysu.edu.cn/
中山大学海洋科学学院主页网站  http://marine.sysu.edu.cn/
中山大学地球科学与工程学院主页网站   http://gs.sysu.edu.cn/
中山大学化学工程与技术学院主页网站   http://cet.sysu.edu.cn/
中山大学中法核工程与技术学院主页网站  http://ifcen.sysu.edu.cn/
中山大学医学院主页网站 http://www.sysu.edu.cn/2012/cn/zhsxy/zhsxy07/index.htm
中山大学药学院（深圳）主页网站 http://www.sysu.edu.cn/2012/cn/zhsxy/zhsxy08/index.htm
中山大学图书馆主页网站 http://library.sysu.edu.cn
中山大学校史主页网站    http://www.sysu.edu.cn/2012/cn/zdgk/zdgk05/index.htm
中山大学纪委办公室、监察处主页网站   http://jw.sysu.edu.cn/
中山大学党委办公室主页网站   http://dwbgs.sysu.edu.cn
中山大学党委组织部主页网站   http://zzb.sysu.edu.cn/
中山大学干部教育培训中心办公室主页网站 http://ceat.sysu.edu.cn/index.htm
中山大学新闻中心主页网站    http://news2.sysu.edu.cn/
中山大学党委统战部主页网站   http://cptzb.sysu.edu.cn/
中山大学党委学生工作部（学生处）主页网站    http://xsc.sysu.edu.cn
中山大学学生就业指导中心主页网站    http://career.sysu.edu.cn/(S(cttuwkuzabgnxym1sitd1q45))/default.aspx
中山大学心理健康教育咨询中心主页网站  http://psycorner.sysu.edu.cn/
中山大学人民武装部（国防教育中心）主页网站   http://wzb.sysu.edu.cn/
中山大学党委保卫部主页网站   http://bwc.sysu.edu.cn/
中山大学离退休工作处主页网站  http://ltx.sysu.edu.cn/
中山大学关心下一代委员会主页网站    http://ggw.sysu.edu.cn
中山大学机关党委主页网站    http://ce.sysu.edu.cn/jgdw/
中山大学校工会主页网站 http://zdgh.sysu.edu.cn/
中山大学校团委主页网站 http://zdtw.sysu.edu.cn/
中山大学校长办公室主页网站   http://poffice.sysu.edu.cn/
中山大学发展规划办公室主页网站 http://fzghb.sysu.edu.cn/
中山大学教务部主页网站 http://jwb.sysu.edu.cn
中山大学招生办公室主页网站   http://admission.sysu.edu.cn/
中山大学外国留学生办公室主页网站    http://iso.sysu.edu.cn/
中山大学研究生院主页网站    http://graduate.sysu.edu.cn/
中山大学研究生招生办公室主页网站    http://graduate.sysu.edu.cn/gra02/index.htm
中山大学科学研究院主页网站   http://research.sysu.edu.cn/
中山大学信息化管理办公室主页网站    http://info.sysu.edu.cn
中山大学人力资源管理处主页网站 http://rsc.sysu.edu.cn/
中山大学博士后管理办公室主页网站    http://rsc.sysu.edu.cn/PostDoctor/
中山大学国际合作与交流处（港澳台事务办公室）主页网站  http://eao.sysu.edu.cn
中山大学财务与国资管理处主页网站    http://home3.sysu.edu.cn/finance/
中山大学设备与实验室管理处主页网站   http://soeasy.sysu.edu.cn/dela/
中山大学生物安全办公室（挂靠）主页网站 http://biosafety.sysu.edu.cn
中山大学保卫处（综合治理督察办公室）主页网站  http://bwc.sysu.edu.cn/
中山大学基建处主页网站 http://jjc.sysu.edu.cn/
中山大学总务处主页网站 http://home3.sysu.edu.cn/zwc/
中山大学医院管理处主页网站   http://yyglc.sysu.edu.cn
中山大学审计处主页网站 http://ce.sysu.edu.cn/sjc/
中山大学广州东校区管理委员会主页网站  http://east.sysu.edu.cn/
中山大学珠海校区管理委员会主页网站   http://zhuhai.sysu.edu.cn/
中山大学深圳校区管理委员会主页网站   http://shenzhen.sysu.edu.cn
中山大学校友总会主页网站    http://alumni.sysu.edu.cn
中山大学教育发展基金会主页网站 http://edf.edaao.sysu.edu.cn
中山大学网络教育学院主页网站  http://sce.sysu.edu.cn/
中山大学网络与信息技术中心主页网站   http://inc.sysu.edu.cn/
中山大学测试中心主页网站    http://iarc.sysu.edu.cn/
中山大学实验动物中心主页网站  http://cmc.sysu.edu.cn/main/default/index.aspx
中山大学图书馆主页网站 http://library.sysu.edu.cn/
中山大学档案馆主页网站 http://archives.sysu.edu.cn/
中山大学学报编辑部主页网站   http://xuebao.sysu.edu.cn/CN/volumn/home.shtml
中山大学出版社（音像出版社）主页网站  http://www.zsup.com.cn/
中山大学政府采购与招投标管理中心主页网站    http://bidding.sysu.edu.cn/
中山大学国家高等教育质量常态监测数据中心主页网站    http://nheqmdc.sysu.edu.cn
中山大学教师发展中心主页网站  http://jsfz.sysu.edu.cn
中山大学产业集团主页网站    http://www.zdholding.com/
中山大学珠三角改革发展研究院主页网站  http://www.iprd.sysu.edu.cn/
中山大学附属第一医院主页网站  http://www.gzsums.net/
中山大学黄埔院区主页网站    http://www.hpyy.org/
中山大学孙逸仙纪念医院（附属第二医院）主页网站 http://www.syshospital.com/
中山大学增城院区主页网站    http://www.zsubj.com/
中山大学附属第三医院主页网站  http://www.zssy.com.cn/
中山大学中山眼科中心主页网站  http://www.gzzoc.com/
中山大学肿瘤防治中心（肿瘤医院、肿瘤研究所）主页网站  http://www.sysucc.org.cn/
中山大学附属口腔医院主页网站  http://www.zdkqyy.com
中山大学附属第五医院主页网站  http://www.zsufivehos.com/
中山大学附属第六医院（胃肠肛门医院）主页网站  http://www.zs6y.com/
中山大学附属第七医院（深圳）主页网站  http://www.sysush.com/1st/index.asp
中山大学附属第八医院（深圳福田）主页网站    http://www.szfthp.com/
